id,state_id,state,district_id,district,city_id,city,loc_id,locality,subloc_id,sublocality,alt_name,pincode,latitude1,longitude1,latitude2,longitude2
3726,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23852,G Block,,411019,18.663031,73.799109,18.63772,73.809395
3727,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23853,Sector 15,,411019,18.659211,73.818995,18.63772,73.809395
3728,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12211,Bhosari,23853,Sector 15,,411019,18.659211,73.818995,18.63772,73.809395
3729,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12226,Pimpri Colony,23853,Sector 15,,411019,18.659211,73.818995,18.63772,73.809395
3730,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23853,Sector 15,,411018,18.659211,73.818995,18.63772,73.809395
3731,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12211,Bhosari,23853,Sector 15,,411018,18.659211,73.818995,18.63772,73.809395
3732,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12226,Pimpri Colony,23853,Sector 15,,411018,18.659211,73.818995,18.63772,73.809395
3733,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23854,H Block,,411018,18.652474,73.816776,18.63772,73.809395
3734,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12226,Pimpri Colony,23854,H Block,,411018,18.652474,73.816776,18.63772,73.809395
3735,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23855,Sector No. 12,,411026,18.652383,73.829459,18.63772,73.809395
3736,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12211,Bhosari,23855,Sector No. 12,,411026,18.652383,73.829459,18.63772,73.809395
3737,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23856,El Block,,411026,18.6398,73.837006,18.63772,73.809395
3738,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12211,Bhosari,23856,El Block,,411026,18.6398,73.837006,18.63772,73.809395
3739,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23857,S Block,,411026,18.628545,73.838187,18.63772,73.809395
3740,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12211,Bhosari,23857,S Block,,411026,18.628545,73.838187,18.63772,73.809395
3741,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23858,Bg Block,,411026,18.630105,73.831115,18.63772,73.809395
3742,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12211,Bhosari,23858,Bg Block,,411026,18.630105,73.831115,18.63772,73.809395
3743,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23859,Phase 3,,411026,18.631106,73.830838,18.63772,73.809395
3744,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12211,Bhosari,23859,Phase 3,,411026,18.631106,73.830838,18.63772,73.809395
3745,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23860,General Block,,411026,18.62895,73.830971,18.63772,73.809395
3746,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12211,Bhosari,23860,General Block,,411026,18.62895,73.830971,18.63772,73.809395
3747,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12235,Sambhajinagar,23861,G Block,,411019,18.659717,73.80006,18.63772,73.809395
3748,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23862,Keshav Nagar,,411033,18.624269,73.783516,18.63772,73.809395
3749,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23863,Shahunagar,,411019,18.663173,73.799088,18.63772,73.809395
3750,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23864,Dalvinagar,,411033,18.644045,73.782169,18.63772,73.809395
3751,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23865,Manik Colony,,411033,18.628785,73.788718,18.63772,73.809395
3752,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23866,Gawade Nagar,,411033,18.630172,73.793157,18.63772,73.809395
3753,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23867,Chinchwad Gaon,,411033,18.628935,73.782054,18.63772,73.809395
3754,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23868,Premlok Park,,411033,18.638988,73.781321,18.63772,73.809395
3755,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23869,Udyog Nagar,,411033,18.639367,73.786921,18.63772,73.809395
3756,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23870,Anna Sahib Nagar,,411019,18.640138,73.79891,18.63772,73.809395
3757,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23871,Vijay Nagar,,411033,18.632395,73.784365,18.63772,73.809395
3758,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23872,Skf Colony,,411033,18.63638,73.778115,18.63772,73.809395
3759,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23873,Bhoir Colony,,411033,18.633433,73.790104,18.63772,73.809395
3760,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23874,Anand Nagar,,411033,18.63588,73.795604,18.63772,73.809395
3761,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23875,Empire Estate Phase 1,,411019,18.63237,73.7975,18.63772,73.809395
3762,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23876,Krushna Nagar,,411019,18.667036,73.788915,18.63772,73.809395
3763,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23877,Premsadan Housing Society,,411019,18.667036,73.788915,18.63772,73.809395
3764,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23878,Purnanagar,,411019,18.660292,73.81361,18.63772,73.809395
3765,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23878,Purnanagar,,411018,18.660292,73.81361,18.63772,73.809395
3766,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23879,Shivatej Nagar,,411019,18.662166,73.804642,18.63772,73.809395
3767,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12239,Tathawade,23880,Dattwadi,,411033,18.627188,73.74256,18.63772,73.809395
3768,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12239,Tathawade,23881,Tajane Wasti,,411033,18.631135,73.73088,18.63772,73.809395
3769,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12239,Tathawade,23882,Ram Nagar,,411033,18.624819,73.75666,18.63772,73.809395
3770,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12239,Tathawade,23883,Santhosh Nagar,,411057,18.607251,73.744307,18.63772,73.809395
3771,21,Maharashtra,179,Thane,214,Navi Mumbai,13289,Nerul,25653,Sarsole,,400706,19.0425,73.012201,19.001511,73.025598
3772,21,Maharashtra,179,Thane,214,Navi Mumbai,13289,Nerul,25654,Sector 7,,400706,19.042957,73.026418,19.001511,73.025598
3773,21,Maharashtra,179,Thane,214,Navi Mumbai,13289,Nerul,25655,Sector 8,,400706,19.041237,73.016623,19.001511,73.025598
3774,21,Maharashtra,179,Thane,192,Kalyan,12663,Khadakpada,24546,Umberde Gaon,,421301,19.27485,73.125888,19.204558,73.109543
3775,21,Maharashtra,179,Thane,192,Kalyan,12663,Khadakpada,24547,Chanakya Nagar,,421301,19.266922,73.131368,19.204558,73.109543
3776,21,Maharashtra,179,Thane,192,Kalyan,12663,Khadakpada,24548,Sapad Gaon,,421301,19.268668,73.113613,19.204558,73.109543
